Tablica 2         , ,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE - PORÓWNANIE  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
W  LATACH  2016 - 2017,,,,,,,
,,,,,, ,
,,,,,, ,w tys. z³
,R o k     2016,,R o k     2017,,WskaŸniki,,
Wyszczególnienie,ustawa,wykonanie,ustawa,wykonanie, ,, 
,bud¿etowa,I - IV,bud¿etowa,I - IV,3:2,5:4,5:3
1,2,3 ,4 ,5 ,6 ,7 ,8 
  1.  Dochody,313 808 526 ,105 385 116 ,325 428 002 ,116 896 919 ,"33,6%","35,9%","110,9%"
  2.  Wydatki,368 548 526 ,116 510 582 ,384 773 502 ,117 879 616 ,"31,6%","30,6%","101,2%"
  3.  Deficyt / Nadwy¿ka,-54 740 000 ,-11 125 466 ,-59 345 500 ,-982 697 ,"20,3%","1,7%","8,8%"
  4.  Œrodki przekazane na finansowanie ,,,,, , , 
       bud¿etu œrodków europejskich, ,4 087 391 ,0 ,0 , , , 
  5.  Deficyt / nadwy¿ka bud¿etu œrodków europejskich,-18 211 381 ,-4 222 698 ,-9 634 492 ,-160 481 ,"23,2%","1,7%","3,8%"
  6.  Finansowanie,72 951 381 ,15 212 856 ,68 979 992 ,982 697 ,"20,9%","1,4%","6,5%"
  6. 1.  krajowe,63 294 329 ,18 656 657 ,58 292 240 ,4 927 686 ,"29,5%","8,5%","26,4%"
  6. 2.  zagraniczne,9 657 052 ,-3 443 801 ,10 687 752 ,-3 944 989 , , ,"114,6%"
, ,, ,, ,, 
,,,,,,,
*)  wskaŸnik powy¿ej 1000,,,,,,,
,,,,,,,
 ,,,,,,,
, ,,,,,,
