Tablica 2         , ,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE - PORÓWNANIE  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
W  LATACH  2016 - 2017,,,,,,,
,,,,,, ,
,,,,,, ,w tys. z³
,R o k     2016,,R o k     2017,,WskaŸniki,,
Wyszczególnienie,ustawa,wykonanie,ustawa,wykonanie, ,, 
,bud¿etowa,I - V,bud¿etowa,I - V,3:2,5:4,5:3
1,2,3 ,4 ,5 ,6 ,7 ,8 
  1.  Dochody,313 808 526 ,129 127 793 ,325 428 002 ,143 331 369 ,"41,1%","44,0%","111,0%"
  2.  Wydatki,368 548 526 ,142 610 298 ,384 773 502 ,143 491 961 ,"38,7%","37,3%","100,6%"
  3.  Deficyt / Nadwy¿ka,-54 740 000 ,-13 482 505 ,-59 345 500 ,-160 592 ,"24,6%","0,3%","1,2%"
  4.  Œrodki przekazane na finansowanie ,,,,, , , 
       bud¿etu œrodków europejskich, ,6 707 194 ,0 ,0 , , , 
  5.  Deficyt / nadwy¿ka bud¿etu œrodków europejskich,-18 211 381 ,-6 794 378 ,-9 634 492 ,-225 209 ,"37,3%","2,3%","3,3%"
  6.  Finansowanie,72 951 381 ,20 189 699 ,68 979 992 ,160 592 ,"27,7%","0,2%","0,8%"
  6. 1.  krajowe,63 294 329 ,27 396 305 ,58 292 240 ,6 502 035 ,"43,3%","11,2%","23,7%"
  6. 2.  zagraniczne,9 657 052 ,-7 206 606 ,10 687 752 ,-6 341 443 , , ,"88,0%"
, ,, ,, ,, 
,,,,,,,
*)  wskaŸnik powy¿ej 1000,,,,,,,
,,,,,,,
 ,,,,,,,
, ,,,,,,
