Tablica 2         , ,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE - PORÓWNANIE  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
W  LATACH  2016 - 2017,,,,,,,
,,,,,, ,
,,,,,, ,w tys. z³
,R o k     2016,,R o k     2017,,WskaŸniki,,
Wyszczególnienie,ustawa,wykonanie,ustawa,wykonanie, ,, 
,bud¿etowa,I ,bud¿etowa,I,3:2,5:4,5:3
1,2,3 ,4 ,5 ,6 ,7 ,8 
  1.  Dochody,313 808 526 ,30 724 478 ,325 428 002 ,36 957 428 ,"9,8%","11,4%","120,3%"
  2.  Wydatki,368 548 526 ,28 964 595 ,384 773 502 ,30 207 549 ,"7,9%","7,9%","104,3%"
  3.  Deficyt / Nadwy¿ka,-54 740 000 ,1 759 883 ,-59 345 500 ,6 749 878 , , ,"383,5%"
  4.  Œrodki przekazane na finansowanie ,,,,, , , 
       bud¿etu œrodków europejskich, ,252 757 , , , , , 
  5.  Deficyt / nadwy¿ka bud¿etu œrodków europejskich,-18 211 381 ,320 942 ,-9 634 492 ,153 233 , , ,"47,7%"
  6.  Finansowanie,72 951 381 ,-1 507 126 ,68 979 992 ,-6 749 878 , , ,"447,9%"
  6. 1.  krajowe,63 294 329 ,-7 029 356 ,58 292 240 ,-9 113 611 , , ,"129,7%"
  6. 2.  zagraniczne,9 657 052 ,5 522 230 ,10 687 752 ,2 363 733 ,"57,2%","22,1%","42,8%"
, ,, ,, ,, 
,,,,,,,
*)  wskaŸnik powy¿ej 1000,,,,,,,
,,,,,,,
 ,,,,,,,
, ,,,,,,
